"C1","C2","C3","C4","C5","C6","C7","C8","Browser","Appl","Goog","FB","Wind","Twtr","Joy","Sams","Gmail","SB","DCM","KDDI","Description"
"<U+1F62E>","<U+200D>","<U+1F4A8>",NA,NA,NA,NA,NA,"<U+0001F62E><U+200D><U+0001F4A8>","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","<U+229B> face exhaling"
"<U+1F925>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F925>","","","","","","","","—","—","—","—","lying face"
"<U+1F60C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F60C>","","","","","","","","","","","","relieved face"
"<U+1F614>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F614>","","","","","","","","","","","","pensive face"
"<U+1F62A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F62A>","","","","","","","","","","—","","sleepy face"
"<U+1F924>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F924>","","","","","","","","—","—","—","—","drooling face"
"<U+1F634>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F634>","","","","","","","","—","—","—","—","sleeping face"
"<U+1F637>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F637>","","","","","","","","","","—","","face with medical mask"
"<U+1F912>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F912>","","","","","","","","—","—","—","—","face with thermometer"
"<U+1F915>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F915>","","","","","","","","—","—","—","—","face with head-bandage"
"<U+1F922>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F922>","","","","","","","","—","—","—","—","nauseated face"
"<U+1F92E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F92E>","","","","","","","","—","—","—","—","face vomiting"
"<U+1F927>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F927>","","","","","","","","—","—","—","—","sneezing face"
"<U+1F975>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F975>","","","","","","","","—","—","—","—","hot face"
"<U+1F976>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F976>","","","","","","","","—","—","—","—","cold face"
"<U+1F974>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F974>","","","","","","","","—","—","—","—","woozy face"
"<U+1F635>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F635>","","","","","","","","","—","","","knocked-out face"
"<U+1F635>","<U+200D>","<U+1F4AB>",NA,NA,NA,NA,NA,"<U+0001F635><U+200D><U+0001F4AB>","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","<U+229B> face with spiral eyes"
"<U+1F92F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F92F>","","","","","","","","—","—","—","—","exploding head"
"<U+1F920>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F920>","","","","","","","","—","—","—","—","cowboy hat face"
"<U+1F973>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F973>","","","","","","","","—","—","—","—","partying face"
"<U+1F978>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F978>","—","","—","—","","","—","—","—","—","—","disguised face"
"<U+1F60E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F60E>","","","","","","","","","—","—","—","smiling face with sunglasses"
"<U+1F913>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F913>","","","","","","","","—","—","—","—","nerd face"
"<U+1F9D0>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9D0>","","","","","","","","—","—","—","—","face with monocle"
"<U+1F615>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F615>","","","","","","","","","—","—","—","confused face"
"<U+1F61F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F61F>","","","","","","","","","—","—","—","worried face"
"<U+1F641>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F641>","","","","","","","","—","—","—","—","slightly frowning face"
"<U+2639>",NA,NA,NA,NA,NA,NA,NA,"<U+2639>","","","","","","","","—","—","—","—","frowning face"
"<U+1F62E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F62E>","","","","","","","","—","—","—","—","face with open mouth"
"<U+1F62F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F62F>","","","","","","","","—","—","—","—","hushed face"
"<U+1F632>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F632>","","","","","","","","","","—","","astonished face"
"<U+1F633>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F633>","","","","","","","","","","—","","flushed face"
"<U+1F97A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F97A>","","","","","","","","—","—","—","—","pleading face"
"<U+1F626>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F626>","","","","","","","","—","—","—","—","frowning face with open mouth"
"<U+1F627>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F627>","","","","","","","","—","—","—","—","anguished face"
"<U+1F628>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F628>","","","","","","","","","","—","","fearful face"
"<U+1F630>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F630>","","","","","","","","","","—","","anxious face with sweat"
"<U+1F625>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F625>","","","","","","","","","","—","—","sad but relieved face"
"<U+1F622>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F622>","","","","","","","","","","","","crying face"
"<U+1F62D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F62D>","","","","","","","","","","","","loudly crying face"
"<U+1F631>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F631>","","","","","","","","","","","","face screaming in fear"
"<U+1F616>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F616>","","","","","","","","","","","","confounded face"
"<U+1F623>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F623>","","","","","","","","","","","","persevering face"
"<U+1F61E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F61E>","","","","","","","","","","","—","disappointed face"
"<U+1F613>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F613>","","","","","","","","","","","","downcast face with sweat"
"<U+1F629>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F629>","","","","","","","","","—","—","","weary face"
